"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"20103670";"2023";69058.00;1310034.35
"20103670";"2024";61545.00;966265.69
"20103689";"2023";106665.00;6363992.09
"20103689";"2024";92160.00;4776654.53
"20103697";"2023";1701.00;19666.68
"20103697";"2024";25.00;2272.00
"20103700";"2023";16451.00;426528.64
"20103700";"2024";6618.00;159334.58
"20103719";"2023";562.00;7474.32
"20103719";"2024";373.00;2678.52
"20103727";"2023";16458.00;737827.79
"20103727";"2024";16635.00;749222.69
"20103743";"2023";778.00;21683.76
"20103743";"2024";289.00;21871.52
"20104014";"2023";2.00;80.00
"20104014";"2024";20.00;4400.00
"20104022";"2023";8320.00;117512.75
"20104022";"2024";2950.00;67275.94
"20104049";"2023";1044.00;42426.18
"20104049";"2024";487.00;19923.77
"20104057";"2023";16.00;1606.73
"20104057";"2024";4.00;301.56
"20104065";"2023";65816.00;1654226.39
"20104065";"2024";34183.00;810207.74
"20104073";"2023";46841.00;2543216.18
"20104073";"2024";28814.00;1224806.64
"20104081";"2023";962.00;21628.45
"20104081";"2024";1192.00;40757.85
"20104090";"2023";3837.00;208377.57
"20104090";"2024";802.00;39367.87
"20104103";"2023";54008.50;728484.03
"20104103";"2024";41776.00;732155.65
"20104111";"2023";582.00;56005.44
"20104111";"2024";229.00;42032.31
"20104120";"2023";6905.00;388355.78
"20104120";"2024";4033.00;193850.36
"20104138";"2023";7825.00;1242983.90
"20104138";"2024";3982.00;857064.69
"20104146";"2023";2618.00;242859.35
"20104146";"2024";1552.00;185916.28
"20104154";"2023";2563.00;40539.83
"20104154";"2024";120.00;3704.41
"20104200";"2023";2662.00;434985.32
"20104200";"2024";1249.00;120860.07
"20104219";"2023";505184.00;34135424.74
"20104219";"2024";575069.00;32262036.52
"20104227";"2023";187230.00;22339554.74
"20104227";"2024";103413.00;13176683.93
"20104235";"2023";10742.00;149477.78
"20104235";"2024";8583.00;281936.52
"20104243";"2023";260.00;140002.53
"20104243";"2024";20.00;8756.26
"20104251";"2023";141.00;461742.64
"20104251";"2024";11.00;467447.56
"20104278";"2023";932.00;222660.31
"20104278";"2024";590.00;128859.17
"20104286";"2023";966.00;38587.52
"20104286";"2024";741.00;50252.54
"20104294";"2023";177131.50;14208896.79
"20104294";"2024";41508.00;7905206.88
"20104308";"2023";33913.00;2181637.40
"20104308";"2024";16230.00;853951.22
"20104316";"2023";8375.00;210625.14
"20104316";"2024";3509.00;97193.35
"20104324";"2023";969.00;8444.81
"20104324";"2024";729.00;14261.05
"20104332";"2023";26.00;6405.00
"20104332";"2024";46.00;32960.00
"20104383";"2023";3172.00;644842.96
"20104383";"2024";1399.00;284573.18
"20104391";"2023";15331.00;3095287.61
"20104391";"2024";9039.00;2065923.55
"20104421";"2023";17703.00;2771283.91
"20104421";"2024";13899.00;2077346.55
"20104430";"2023";14054.00;819921.99
"20104430";"2024";11522.00;1625142.55
"20104464";"2023";45.00;8163.54
"20104464";"2024";61.00;7546.82
"20105037";"2023";566.00;6998.96
"20105037";"2024";50.00;217.91
"20201052";"2023";45.00;17200.23
"20201052";"2024";13.00;5897.66
"20201087";"2023";32.00;5949.97
"20201087";"2024";9.00;1486.82
"20202016";"2023";25148.00;1072070.71
"20202016";"2024";18371.00;860413.58
